2026-02-24 15:57:00,999 | INFO | Log file: /gscratch/tkishore/MAYO_AIM2//results/logs/generated_sql_zero_shot_20260224_155700.log
2026-02-24 15:57:01,321 | INFO | =========== RUN START ===========
2026-02-24 15:57:01,321 | INFO | Input: /gscratch/tkishore/MAYO_AIM2//data/natural_question_1500.json
2026-02-24 15:57:01,321 | INFO | Input format used: json
2026-02-24 15:57:01,321 | INFO | Output: /gscratch/tkishore/MAYO_AIM2//logs/Gemma/27B/sql_with_conf_new/generated_sql_zero_shot.jsonl
2026-02-24 15:57:01,321 | INFO | Error log: /gscratch/tkishore/MAYO_AIM2//logs/Gemma/27B/sql_with_conf_new/error_log_zero_shot.jsonl
2026-02-24 15:57:01,321 | INFO | Checkpoint: /gscratch/tkishore/MAYO_AIM2//logs/Gemma/27B/sql_with_conf_new/generated_sql_zero_shot.jsonl.checkpoint.json
2026-02-24 15:57:01,321 | INFO | Rows selected: 1500
2026-02-24 15:57:01,321 | INFO | Resuming: True
2026-02-24 15:57:01,321 | INFO | Already completed: 0
2026-02-24 15:57:01,321 | INFO | Prompt style: zero_shot
2026-02-24 15:57:01,321 | INFO | Backend: openai_compat
2026-02-24 15:57:01,321 | INFO | Model: google/gemma-3-27b-it
2026-02-24 15:57:01,321 | INFO | Logprob mode: structured
2026-02-24 15:57:01,321 | INFO | Batch size: 32
2026-02-24 15:57:01,321 | INFO | Batch concurrency: 8
2026-02-24 15:57:01,321 | INFO | Use pydantic response schema: True
2026-02-24 15:57:01,322 | INFO | Schema columns: 32
2026-02-24 15:57:01,322 | INFO | Schema hints columns: 32
2026-02-24 15:57:51,213 | INFO | Batch 1/47 processed=32 elapsed=49.72s throughput=0.64 rec/s completed=32/1500 success=32 error=0
2026-02-24 15:58:39,196 | INFO | Batch 2/47 processed=32 elapsed=47.92s throughput=0.67 rec/s completed=64/1500 success=64 error=0
2026-02-24 15:59:29,364 | INFO | Batch 3/47 processed=32 elapsed=50.10s throughput=0.64 rec/s completed=96/1500 success=96 error=0
2026-02-24 16:00:19,619 | INFO | Batch 4/47 processed=32 elapsed=50.19s throughput=0.64 rec/s completed=128/1500 success=128 error=0
2026-02-24 16:01:08,973 | INFO | Batch 5/47 processed=32 elapsed=49.30s throughput=0.65 rec/s completed=160/1500 success=160 error=0
2026-02-24 16:01:54,962 | INFO | Batch 6/47 processed=32 elapsed=45.93s throughput=0.70 rec/s completed=192/1500 success=192 error=0
2026-02-24 16:02:43,757 | INFO | Batch 7/47 processed=32 elapsed=48.74s throughput=0.66 rec/s completed=224/1500 success=224 error=0
2026-02-24 16:03:30,323 | INFO | Batch 8/47 processed=32 elapsed=46.50s throughput=0.69 rec/s completed=256/1500 success=256 error=0
2026-02-24 16:04:14,761 | INFO | Batch 9/47 processed=32 elapsed=44.37s throughput=0.72 rec/s completed=288/1500 success=288 error=0
2026-02-24 16:05:02,249 | INFO | Batch 10/47 processed=32 elapsed=47.42s throughput=0.67 rec/s completed=320/1500 success=320 error=0
2026-02-24 16:05:51,699 | INFO | Batch 11/47 processed=32 elapsed=49.38s throughput=0.65 rec/s completed=352/1500 success=352 error=0
2026-02-24 16:06:39,436 | INFO | Batch 12/47 processed=32 elapsed=47.67s throughput=0.67 rec/s completed=384/1500 success=384 error=0
2026-02-24 16:07:30,387 | INFO | Batch 13/47 processed=32 elapsed=50.88s throughput=0.63 rec/s completed=416/1500 success=416 error=0
2026-02-24 16:08:17,509 | INFO | Batch 14/47 processed=32 elapsed=47.05s throughput=0.68 rec/s completed=448/1500 success=448 error=0
2026-02-24 16:09:13,973 | INFO | Batch 15/47 processed=32 elapsed=56.39s throughput=0.57 rec/s completed=480/1500 success=480 error=0
2026-02-24 16:10:08,838 | INFO | Batch 16/47 processed=32 elapsed=54.79s throughput=0.58 rec/s completed=512/1500 success=512 error=0
2026-02-24 16:10:54,426 | INFO | Batch 17/47 processed=32 elapsed=45.51s throughput=0.70 rec/s completed=544/1500 success=544 error=0
2026-02-24 16:11:38,910 | INFO | Batch 18/47 processed=32 elapsed=44.40s throughput=0.72 rec/s completed=576/1500 success=576 error=0
2026-02-24 16:12:25,683 | INFO | Batch 19/47 processed=32 elapsed=46.69s throughput=0.69 rec/s completed=608/1500 success=608 error=0
2026-02-24 16:13:03,917 | INFO | Batch 20/47 processed=32 elapsed=38.15s throughput=0.84 rec/s completed=640/1500 success=640 error=0
2026-02-24 16:13:47,004 | INFO | Batch 21/47 processed=32 elapsed=43.00s throughput=0.74 rec/s completed=672/1500 success=672 error=0
2026-02-24 16:14:33,784 | INFO | Batch 22/47 processed=32 elapsed=46.70s throughput=0.69 rec/s completed=704/1500 success=704 error=0
2026-02-24 16:15:26,511 | INFO | Batch 23/47 processed=32 elapsed=52.64s throughput=0.61 rec/s completed=736/1500 success=736 error=0
2026-02-24 16:16:08,718 | INFO | Batch 24/47 processed=32 elapsed=42.12s throughput=0.76 rec/s completed=768/1500 success=768 error=0
2026-02-24 16:16:49,220 | INFO | Batch 25/47 processed=32 elapsed=40.42s throughput=0.79 rec/s completed=800/1500 success=800 error=0
2026-02-24 16:17:35,310 | INFO | Batch 26/47 processed=32 elapsed=46.00s throughput=0.70 rec/s completed=832/1500 success=832 error=0
2026-02-24 16:18:19,042 | INFO | Batch 27/47 processed=32 elapsed=43.63s throughput=0.73 rec/s completed=864/1500 success=864 error=0
2026-02-24 16:19:01,768 | INFO | Batch 28/47 processed=32 elapsed=42.63s throughput=0.75 rec/s completed=896/1500 success=896 error=0
2026-02-24 16:19:48,238 | INFO | Batch 29/47 processed=32 elapsed=46.38s throughput=0.69 rec/s completed=928/1500 success=928 error=0
2026-02-24 16:20:36,214 | INFO | Batch 30/47 processed=32 elapsed=47.88s throughput=0.67 rec/s completed=960/1500 success=960 error=0
2026-02-24 16:21:13,412 | INFO | Batch 31/47 processed=32 elapsed=37.10s throughput=0.86 rec/s completed=992/1500 success=992 error=0
2026-02-24 16:21:54,922 | INFO | Batch 32/47 processed=32 elapsed=41.41s throughput=0.77 rec/s completed=1024/1500 success=1024 error=0
2026-02-24 16:22:44,309 | INFO | Batch 33/47 processed=32 elapsed=49.29s throughput=0.65 rec/s completed=1056/1500 success=1056 error=0
2026-02-24 16:23:18,352 | INFO | Batch 34/47 processed=32 elapsed=33.94s throughput=0.94 rec/s completed=1088/1500 success=1088 error=0
2026-02-24 16:24:01,441 | INFO | Batch 35/47 processed=32 elapsed=42.99s throughput=0.74 rec/s completed=1120/1500 success=1120 error=0
2026-02-24 16:24:45,972 | INFO | Batch 36/47 processed=32 elapsed=44.43s throughput=0.72 rec/s completed=1152/1500 success=1152 error=0
2026-02-24 16:25:27,813 | INFO | Batch 37/47 processed=32 elapsed=41.74s throughput=0.77 rec/s completed=1184/1500 success=1184 error=0
2026-02-24 16:26:11,484 | INFO | Batch 38/47 processed=32 elapsed=43.56s throughput=0.73 rec/s completed=1216/1500 success=1216 error=0
2026-02-24 16:26:51,802 | INFO | Batch 39/47 processed=32 elapsed=40.20s throughput=0.80 rec/s completed=1248/1500 success=1248 error=0
2026-02-24 16:27:31,590 | INFO | Batch 40/47 processed=32 elapsed=39.68s throughput=0.81 rec/s completed=1280/1500 success=1280 error=0
2026-02-24 16:28:19,794 | INFO | Batch 41/47 processed=32 elapsed=48.09s throughput=0.67 rec/s completed=1312/1500 success=1312 error=0
2026-02-24 16:29:07,683 | INFO | Batch 42/47 processed=32 elapsed=47.78s throughput=0.67 rec/s completed=1344/1500 success=1344 error=0
2026-02-24 16:29:47,183 | INFO | Batch 43/47 processed=32 elapsed=39.28s throughput=0.81 rec/s completed=1376/1500 success=1376 error=0
2026-02-24 16:30:34,507 | INFO | Batch 44/47 processed=32 elapsed=47.21s throughput=0.68 rec/s completed=1408/1500 success=1408 error=0
2026-02-24 16:31:17,605 | INFO | Batch 45/47 processed=32 elapsed=42.98s throughput=0.74 rec/s completed=1440/1500 success=1440 error=0
2026-02-24 16:32:03,742 | INFO | Batch 46/47 processed=32 elapsed=46.02s throughput=0.70 rec/s completed=1472/1500 success=1472 error=0
2026-02-24 16:32:42,189 | INFO | Batch 47/47 processed=28 elapsed=38.33s throughput=0.73 rec/s completed=1500/1500 success=1500 error=0
2026-02-24 16:32:42,422 | INFO | =========== RUN SUMMARY ===========
2026-02-24 16:32:42,422 | INFO | Rows selected: 1500
2026-02-24 16:32:42,422 | INFO | Rows completed in checkpoint: 1500
2026-02-24 16:32:42,422 | INFO | Processed this run: 1500
2026-02-24 16:32:42,422 | INFO | Non-empty predicted SQL: 1500
2026-02-24 16:32:42,422 | INFO | Success count (this run): 1500
2026-02-24 16:32:42,422 | INFO | Error count (this run): 0
2026-02-24 16:32:42,422 | INFO | Avg confidence_overall (this run): 0.639728
2026-02-24 16:32:42,422 | INFO | Total runtime: 2140.93s
2026-02-24 16:32:42,422 | INFO | ===================================
