model_family,report_file,baseline_eval_file,section_batch,question_set_source,count_scope_ids_raw,count_scope_ids,count_common_ids,count_missing_in_baseline,count_deduped_scope_ids,h2h_both_true,h2h_batch_only_true,h2h_baseline_only_true,h2h_both_false,chrf__batch,chrf__baseline,chrf__delta,column_alignment_score__batch,column_alignment_score__baseline,column_alignment_score__delta,exact_exec_match__batch,exact_exec_match__baseline,exact_exec_match__delta,f1__batch,f1__baseline,f1__delta,precision__batch,precision__baseline,precision__delta,pred_exec_ok__batch,pred_exec_ok__baseline,pred_exec_ok__delta,recall__batch,recall__baseline,recall__delta,rouge_l_f1__batch,rouge_l_f1__baseline,rouge_l_f1__delta,row_jaccard__batch,row_jaccard__baseline,row_jaccard__delta,sql_ast_similarity__batch,sql_ast_similarity__baseline,sql_ast_similarity__delta
gemma,eval_gemma27b_cot_vs_method_batches.json,eval_gemma27b_cot.json,batch_1.eval,pred_nonempty,500,500,500,0,0,34,180,24,262,94.8249467088503,78.0430624984755,16.7818842103748,0.8383401676332926,0.722253697954823,0.11608646967846958,0.428,0.116,0.312,0.533145208591007,0.40188909281237,0.131256115778637,0.5303023221957781,0.4081728378449423,0.12212948435083582,1.0,0.99,0.010000000000000009,0.5567122863247863,0.4359456718546004,0.12076661447018588,0.9394695103728521,0.7996434659842652,0.13982604438858692,0.5143705021095465,0.34445281657243004,0.16991768553711645,0.903905314344619,0.8544101718592075,0.049495142485411425
gemma,eval_gemma27b_cot_vs_method_batches.json,eval_gemma27b_cot.json,batch_2.eval,pred_nonempty,500,500,500,0,0,28,94,42,336,90.47015655859981,78.15344083202737,12.31671572657244,0.7738559527189216,0.6899366130856011,0.08391933963332054,0.244,0.14,0.10399999999999998,0.3689052184424939,0.31600682831840365,0.052898390124090255,0.4040541766283378,0.36854123192545324,0.035512944702884575,1.0,0.988,0.01200000000000001,0.37487549439953466,0.33725643517833315,0.03761905922120151,0.9011051596568145,0.7976821981327088,0.10342296152410568,0.3429618190820164,0.2723492769881128,0.07061254209390361,0.8424229927296307,0.8038776729709405,0.038545319758690244
gemma,eval_gemma27b_cot_vs_method_batches.json,eval_gemma27b_cot.json,batch_3.eval,pred_nonempty,500,500,500,0,0,49,104,23,324,92.03379100729217,77.47052494472163,14.563266062570534,0.7973009657532153,0.6957169997195863,0.10158396603362896,0.306,0.144,0.162,0.43240878400489074,0.3287755700880242,0.10363321391686653,0.48915972910713107,0.3663302507980294,0.12282947830910168,1.0,0.99,0.010000000000000009,0.4341645612109767,0.3581816901867361,0.07598287102424056,0.9251490569978164,0.7826794767642956,0.14246958023352074,0.4061315042798422,0.28318883594818384,0.12294266833165834,0.8400549710484819,0.8047356417211226,0.03531932932735937
gemma,eval_gemma27b_cot_vs_method_batches.json,eval_gemma27b_cot.json,overall_combined,pred_nonempty,1500,1500,1500,0,0,111,378,89,922,92.61785228620586,77.88969936925142,14.728152916954443,0.8031656953684765,0.7026357702533368,0.1005299251151397,0.326,0.13333333333333333,0.19266666666666668,0.44481973701279715,0.3488904970729326,0.09592923993986452,0.4745054093104156,0.38101477352280827,0.09349063578760736,1.0,0.9893333333333333,0.010666666666666713,0.4552507806450992,0.37712793240655657,0.07812284823854265,0.9235168165527954,0.7934368573020404,0.130079959250755,0.4211546084904683,0.29999697650290885,0.12115763198755947,0.8621277593742438,0.8210193720821481,0.04110838729209565
gemma,eval_gemma27b_few_shot_vs_method_batches.json,eval_gemma27b_few_shot.json,batch_1.eval,pred_nonempty,500,500,500,0,0,120,94,79,207,94.8249467088503,94.01545655894624,0.8094901499040645,0.8383401676332926,0.8322163535587799,0.006123814074512679,0.428,0.398,0.02999999999999997,0.533145208591007,0.5528019035662494,-0.01965669497524236,0.5303023221957781,0.56180588366198,-0.031503561466201924,1.0,1.0,0.0,0.5567122863247863,0.5864650374922696,-0.029752751167483327,0.9394695103728521,0.9406170539644314,-0.0011475435915793142,0.5143705021095465,0.5220449870527204,-0.007674484943173909,0.903905314344619,0.9070977487320486,-0.0031924343874296657
gemma,eval_gemma27b_few_shot_vs_method_batches.json,eval_gemma27b_few_shot.json,batch_2.eval,pred_nonempty,500,500,500,0,0,55,67,61,317,90.47015655859981,88.7362882465417,1.7338683120581067,0.7738559527189216,0.7621842615339149,0.01167169118500666,0.244,0.232,0.011999999999999983,0.3689052184424939,0.374111554194281,-0.005206335751787083,0.4040541766283378,0.4360863230406832,-0.032032146412345364,1.0,0.994,0.006000000000000005,0.37487549439953466,0.38977125124925843,-0.014895756849723774,0.9011051596568145,0.8919774505199871,0.009127709136827367,0.3429618190820164,0.34187889950193007,0.0010829195800863278,0.8424229927296307,0.8291045292351944,0.013318463494436328
gemma,eval_gemma27b_few_shot_vs_method_batches.json,eval_gemma27b_few_shot.json,batch_3.eval,pred_nonempty,500,500,500,0,0,98,55,48,299,92.03379100729217,90.62915941724623,1.4046315900459376,0.7973009657532153,0.7738680739634208,0.023432891789794463,0.306,0.292,0.014000000000000012,0.43240878400489074,0.4449093966614694,-0.012500612656578647,0.48915972910713107,0.4954493615047036,-0.00628963239757252,1.0,0.994,0.006000000000000005,0.4341645612109767,0.4543670116710526,-0.020202450460075905,0.9251490569978164,0.8991812853674933,0.025967771630323044,0.4061315042798422,0.4126684759945723,-0.006536971714730111,0.8400549710484819,0.8268504628471907,0.013204508201291265
gemma,eval_gemma27b_few_shot_vs_method_batches.json,eval_gemma27b_few_shot.json,overall_combined,pred_nonempty,1500,1500,1500,0,0,273,216,188,823,92.61785228620586,91.32081182361884,1.2970404625870202,0.8031656953684765,0.7894228963520387,0.013742799016437823,0.326,0.30733333333333335,0.018666666666666665,0.44481973701279715,0.45727428480733323,-0.012454547794536086,0.4745054093104156,0.4977805227357889,-0.02327511342537325,1.0,0.996,0.0040000000000000036,0.4552507806450992,0.47686776680419357,-0.021616986159094354,0.9235168165527954,0.9124209506544301,0.011095865898365309,0.4211546084904683,0.4255307875164076,-0.004376179025939286,0.8621277593742438,0.854367755755825,0.007760003618418776
gemma,eval_gemma27b_zero_shot_vs_method_batches.json,eval_gemma27b_zero_shot.json,batch_1.eval,pred_nonempty,500,500,500,0,0,82,132,97,189,94.8249467088503,86.93921484660333,7.8857318622469705,0.8383401676332926,0.8072571893322669,0.031082978301025688,0.428,0.358,0.07,0.533145208591007,0.47591746690391185,0.05722774168709516,0.5303023221957781,0.4827581800840224,0.04754414211175573,1.0,1.0,0.0,0.5567122863247863,0.5064845689033189,0.050227717421467366,0.9394695103728521,0.8240418822705812,0.11542762810227092,0.5143705021095465,0.43897574589169136,0.07539475621785513,0.903905314344619,0.5685654886349975,0.3353398257096215
gemma,eval_gemma27b_zero_shot_vs_method_batches.json,eval_gemma27b_zero_shot.json,batch_2.eval,pred_nonempty,500,500,500,0,0,51,71,74,304,90.47015655859981,82.45397369393079,8.01618286466902,0.7738559527189216,0.7396950582813393,0.0341608944375823,0.244,0.25,-0.006000000000000005,0.3689052184424939,0.3451975880807199,0.023707630361774035,0.4040541766283378,0.4011870153920154,0.002867161236322413,1.0,1.0,0.0,0.37487549439953466,0.34934729265951303,0.025528201740021628,0.9011051596568145,0.8041036451760865,0.09700151448072802,0.3429618190820164,0.31643979525044175,0.026522023831574648,0.8424229927296307,0.5959703696478144,0.24645262308181637
