row_type,model_family,baseline_file,metric,method_value,baseline_value,delta_method_minus_baseline,delta_em,delta_f1,delta_ast
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,exact_exec_match,0.326,0.294667,0.031333,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,pred_exec_ok,1.0,0.999333,0.000667,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,sql_ast_similarity,0.862128,0.594162,0.267966,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,precision,0.474505,0.438489,0.036017,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,recall,0.455251,0.414734,0.040516,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,f1,0.44482,0.399551,0.045268,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,row_jaccard,0.421155,0.367907,0.053247,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,column_alignment_score,0.803166,0.758183,0.044983,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,chrf,92.617852,84.076691,8.541161,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,rouge_l_f1,0.923517,0.80556,0.117956,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,exact_exec_match,0.409333,0.122,0.287333,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,pred_exec_ok,1.0,0.563333,0.436667,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,sql_ast_similarity,0.863582,0.85214,0.011442,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,precision,0.597191,0.318843,0.278348,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,recall,0.562742,0.301362,0.261379,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,f1,0.555687,0.29735,0.258337,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,row_jaccard,0.526516,0.26118,0.265336,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,column_alignment_score,0.83479,0.42619,0.4086,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,chrf,92.021899,77.964901,14.056998,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,rouge_l_f1,0.924148,0.820981,0.103167,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,exact_exec_match,0.409333,0.256,0.153333,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,pred_exec_ok,1.0,1.0,0.0,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,sql_ast_similarity,0.863582,0.804354,0.059228,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,precision,0.597191,0.573984,0.023207,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,recall,0.562742,0.54401,0.018732,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,f1,0.555687,0.529565,0.026122,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,row_jaccard,0.526516,0.475105,0.051411,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,column_alignment_score,0.83479,0.780425,0.054364,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,chrf,92.021899,83.025328,8.996571,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,rouge_l_f1,0.924148,0.858034,0.066114,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,exact_exec_match,0.409333,0.268667,0.140667,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,pred_exec_ok,1.0,0.998667,0.001333,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,sql_ast_similarity,0.863582,0.725434,0.138148,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,precision,0.597191,0.505637,0.091554,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,recall,0.562742,0.47831,0.084431,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,f1,0.555687,0.465191,0.090496,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,row_jaccard,0.526516,0.417407,0.109109,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,column_alignment_score,0.83479,0.75665,0.078139,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,chrf,92.021899,81.826133,10.195766,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,rouge_l_f1,0.924148,0.818813,0.105335,,,
summary_delta_only,gemma27b,eval_gemma27b_cot,,,,,0.1927,0.0959,0.0411
summary_delta_only,gemma27b,eval_gemma27b_few_shot,,,,,0.0187,-0.0125,0.0078
summary_delta_only,gemma27b,eval_gemma27b_zero_shot,,,,,0.0313,0.0453,0.268
summary_delta_only,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot,,,,,0.2873,0.2583,0.0114
summary_delta_only,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot,,,,,0.1533,0.0261,0.0592
summary_delta_only,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot,,,,,0.1407,0.0905,0.1381
