row_type,model_family,baseline_file,metric,method_value,baseline_value,delta_method_minus_baseline,delta_em,delta_f1,delta_ast,delta_confidence
summary_delta_only,gemma27b,eval_gemma27b_cot,,,,,0.192667,0.095929,0.041108,0.702265
overall_metric,gemma27b,eval_gemma27b_cot.json,avg_pred_confidence,0.704780,0.002515,0.702265,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,chrf,92.617852,77.889699,14.728153,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,column_alignment_score,0.803166,0.702636,0.100530,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,exact_exec_match,0.326000,0.133333,0.192667,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,f1,0.444820,0.348890,0.095929,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,precision,0.474505,0.381015,0.093491,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,recall,0.455251,0.377128,0.078123,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,rouge_l_f1,0.923517,0.793437,0.130080,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,row_jaccard,0.421155,0.299997,0.121158,,,,
overall_metric,gemma27b,eval_gemma27b_cot.json,sql_ast_similarity,0.862128,0.821019,0.041108,,,,
summary_delta_only,gemma27b,eval_gemma27b_few_shot,,,,,0.018667,-0.012455,0.007760,0.173139
overall_metric,gemma27b,eval_gemma27b_few_shot.json,avg_pred_confidence,0.704780,0.531642,0.173139,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,chrf,92.617852,91.320812,1.297040,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,column_alignment_score,0.803166,0.789423,0.013743,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,exact_exec_match,0.326000,0.307333,0.018667,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,f1,0.444820,0.457274,-0.012455,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,precision,0.474505,0.497781,-0.023275,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,recall,0.455251,0.476868,-0.021617,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,rouge_l_f1,0.923517,0.912421,0.011096,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,row_jaccard,0.421155,0.425531,-0.004376,,,,
overall_metric,gemma27b,eval_gemma27b_few_shot.json,sql_ast_similarity,0.862128,0.854368,0.007760,,,,
summary_delta_only,gemma27b,eval_gemma27b_zero_shot,,,,,0.031333,0.045268,0.267966,0.047787
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,avg_pred_confidence,0.704780,0.656993,0.047787,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,chrf,92.617852,84.076691,8.541161,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,column_alignment_score,0.803166,0.758183,0.044983,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,exact_exec_match,0.326000,0.294667,0.031333,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,f1,0.444820,0.399551,0.045268,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,precision,0.474505,0.438489,0.036017,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,recall,0.455251,0.414734,0.040516,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,rouge_l_f1,0.923517,0.805560,0.117956,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,row_jaccard,0.421155,0.367907,0.053247,,,,
overall_metric,gemma27b,eval_gemma27b_zero_shot.json,sql_ast_similarity,0.862128,0.594162,0.267966,,,,
summary_delta_only,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot,,,,,0.287333,0.258337,0.011442,0.662994
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,avg_pred_confidence,0.663016,0.000022,0.662994,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,chrf,92.021899,77.964901,14.056998,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,column_alignment_score,0.834790,0.426190,0.408600,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,exact_exec_match,0.409333,0.122000,0.287333,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,f1,0.555687,0.297350,0.258337,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,precision,0.597191,0.318843,0.278348,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,recall,0.562742,0.301362,0.261379,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,rouge_l_f1,0.924148,0.820981,0.103167,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,row_jaccard,0.526516,0.261180,0.265336,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_cot.json,sql_ast_similarity,0.863582,0.852140,0.011442,,,,
summary_delta_only,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot,,,,,0.153333,0.026122,0.059228,0.316003
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,avg_pred_confidence,0.663016,0.347013,0.316003,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,chrf,92.021899,83.025328,8.996571,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,column_alignment_score,0.834790,0.780425,0.054364,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,exact_exec_match,0.409333,0.256000,0.153333,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,f1,0.555687,0.529565,0.026122,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,precision,0.597191,0.573984,0.023207,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,recall,0.562742,0.544010,0.018732,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,rouge_l_f1,0.924148,0.858034,0.066114,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,row_jaccard,0.526516,0.475105,0.051411,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_few_shot.json,sql_ast_similarity,0.863582,0.804354,0.059228,,,,
summary_delta_only,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot,,,,,0.140667,0.090496,0.138148,0.272819
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,avg_pred_confidence,0.663016,0.390197,0.272819,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,chrf,92.021899,81.826133,10.195766,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,column_alignment_score,0.834790,0.756650,0.078139,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,exact_exec_match,0.409333,0.268667,0.140667,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,f1,0.555687,0.465191,0.090496,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,precision,0.597191,0.505637,0.091554,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,recall,0.562742,0.478310,0.084431,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,rouge_l_f1,0.924148,0.818813,0.105335,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,row_jaccard,0.526516,0.417407,0.109109,,,,
overall_metric,qwen3_30b_a3b,eval_qwen3_30b_a3b_zero_shot.json,sql_ast_similarity,0.863582,0.725434,0.138148,,,,
